"Office Location","Activity Type","Site Name","Pollution Level Detected"
Brisbane,"Water Quality Test","Speers Point Park",197.38
Hobart,"Air Quality Check","Heaton State Forest",197.35
Canberra,"Soil Quality Test","Watagan Mountains",197.32
Adelaide,"Air Quality Check","Belmont Wetlands State Park",197.32
Perth,"Air Quality Check","Heaton State Forest",197.31
Adelaide,"Water Quality Test","Hunter Wetlands Centre",197.3
Brisbane,"Noise Level Measurement","Lambton Park",197.22
"Gold Coast","Soil Quality Test","Toronto Foreshore",197.22
Adelaide,"Water Quality Test","Mount Sugarloaf",197.11
Canberra,"Water Quality Test","Warners Bay Foreshore",197.08
Sydney,"Water Quality Test","Redhead Beach",197.07
Perth,"Soil Quality Test","Newcastle Beach",197
Adelaide,"Air Quality Check","Redhead Beach",196.97
Melbourne,"Water Quality Test","Watagan Mountains",196.94
Melbourne,"Soil Quality Test","Charlestown Park",196.92
Darwin,"Water Quality Test","Hunter Wetlands Centre",196.9
Melbourne,"Air Quality Check","Heaton State Forest",196.87
"Gold Coast","Noise Level Measurement","Mount Sugarloaf",196.79
Perth,"Soil Quality Test","Charlestown Park",196.74
Hobart,"Soil Quality Test","Heaton State Forest",196.72
Brisbane,"Air Quality Check","Jesmond Park",196.72
Hobart,"Water Quality Test","Nobbys Beach",196.72
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",196.71
Brisbane,"Air Quality Check","Awaba State Forest",196.69
"Gold Coast","Soil Quality Test","Merewether Beach",196.67
Brisbane,"Water Quality Test","Redhead Beach",196.62
Melbourne,"Air Quality Check","Richley Reserve",196.61
Canberra,"Water Quality Test","Newcastle Beach",196.61
Perth,"Noise Level Measurement","Heaton State Forest",196.57
Canberra,"Water Quality Test","Richley Reserve",196.57
Brisbane,"Water Quality Test","Jesmond Park",196.52
Melbourne,"Water Quality Test","Jesmond Park",196.49
Canberra,"Air Quality Check","Watagan Mountains",196.47
Melbourne,"Noise Level Measurement","Charlestown Park",196.35
"Gold Coast","Water Quality Test","Braye Park",196.34
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",196.24
"Gold Coast","Noise Level Measurement","King Edward Park",196.2
Sydney,"Noise Level Measurement","Braye Park",196.13
Darwin,"Soil Quality Test","King Edward Park",196.08
Sydney,"Soil Quality Test","Jesmond Park",195.96
Hobart,"Soil Quality Test","Blackbutt Nature Reserve",195.95
Darwin,"Soil Quality Test","Braye Park",195.95
Newcastle,"Air Quality Check","Warners Bay Foreshore",195.94
Brisbane,"Water Quality Test","Merewether Beach",195.88
Adelaide,"Air Quality Check","Lambton Park",195.86
Brisbane,"Water Quality Test","Speers Point Park",195.81
Sydney,"Noise Level Measurement","Jesmond Park",195.8
Hobart,"Soil Quality Test","Nobbys Beach",195.79
Canberra,"Noise Level Measurement","Richley Reserve",195.79
Melbourne,"Air Quality Check","Nobbys Beach",195.78
Perth,"Noise Level Measurement","Charlestown Park",195.77
Perth,"Water Quality Test","Waratah Park",195.76
Newcastle,"Noise Level Measurement","Watagan Mountains",195.71
Adelaide,"Soil Quality Test","Speers Point Park",195.68
Newcastle,"Water Quality Test","Richley Reserve",195.61
Canberra,"Air Quality Check","Warners Bay Foreshore",195.6
Newcastle,"Water Quality Test","Charlestown Park",195.59
Melbourne,"Water Quality Test","Newcastle Beach",195.57
Hobart,"Soil Quality Test","Richley Reserve",195.56
Brisbane,"Water Quality Test","Mount Sugarloaf",195.51
Newcastle,"Noise Level Measurement","Waratah Park",195.49
Canberra,"Air Quality Check","Warners Bay Foreshore",195.4
"Gold Coast","Water Quality Test","Merewether Beach",195.32
Sydney,"Soil Quality Test","Mount Sugarloaf",195.31
Sydney,"Soil Quality Test","Hunter Wetlands Centre",195.3
Melbourne,"Noise Level Measurement","Merewether Beach",195.27
Melbourne,"Noise Level Measurement","Glenrock State Conservation Area",195.24
Newcastle,"Soil Quality Test","Richley Reserve",195.23
Newcastle,"Soil Quality Test","Glenrock State Conservation Area",195.2
Sydney,"Noise Level Measurement","Croudace Bay Park",195.2
Perth,"Water Quality Test","Charlestown Park",195.17
"Gold Coast","Noise Level Measurement","Hunter Wetlands Centre",195.09
Canberra,"Noise Level Measurement","Watagan Mountains",195.05
"Gold Coast","Soil Quality Test","Belmont Wetlands State Park",195.04
Perth,"Water Quality Test","Warners Bay Foreshore",195.02
"Gold Coast","Air Quality Check","Nobbys Beach",195.02
Adelaide,"Soil Quality Test","Hunter Wetlands Centre",195
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",195
Canberra,"Water Quality Test","King Edward Park",194.98
Hobart,"Soil Quality Test","Nobbys Beach",194.96
Canberra,"Air Quality Check","Croudace Bay Park",194.94
Melbourne,"Air Quality Check","Heaton State Forest",194.91
Darwin,"Air Quality Check","Hunter Wetlands Centre",194.9
Darwin,"Air Quality Check","Hunter Wetlands Centre",194.83
"Gold Coast","Noise Level Measurement","Redhead Beach",194.81
Sydney,"Air Quality Check","King Edward Park",194.73
Newcastle,"Noise Level Measurement","Richley Reserve",194.58
Hobart,"Noise Level Measurement","Glenrock State Conservation Area",194.57
Newcastle,"Air Quality Check","Charlestown Park",194.57
Adelaide,"Water Quality Test","Speers Point Park",194.56
"Gold Coast","Noise Level Measurement","Toronto Foreshore",194.44
Hobart,"Water Quality Test","Glenrock State Conservation Area",194.35
Sydney,"Soil Quality Test","Speers Point Park",194.33
Sydney,"Soil Quality Test","Braye Park",194.32
Adelaide,"Air Quality Check","Awaba State Forest",194.17
Adelaide,"Soil Quality Test","Merewether Beach",194.08
Brisbane,"Water Quality Test","King Edward Park",194.05
Darwin,"Air Quality Check","King Edward Park",194.02
Hobart,"Noise Level Measurement","Richley Reserve",194.01
Melbourne,"Water Quality Test","Waratah Park",193.94
Newcastle,"Noise Level Measurement","King Edward Park",193.92
Hobart,"Soil Quality Test","Blackbutt Nature Reserve",193.91
Adelaide,"Soil Quality Test","Belmont Wetlands State Park",193.9
Melbourne,"Noise Level Measurement","Croudace Bay Park",193.84
Canberra,"Air Quality Check","Croudace Bay Park",193.77
Canberra,"Noise Level Measurement","Warners Bay Foreshore",193.73
Darwin,"Air Quality Check","Warners Bay Foreshore",193.67
Darwin,"Soil Quality Test","Jesmond Park",193.54
Brisbane,"Water Quality Test","Toronto Foreshore",193.54
Newcastle,"Soil Quality Test","Newcastle Beach",193.5
Darwin,"Noise Level Measurement","Merewether Beach",193.42
Canberra,"Soil Quality Test","Blackbutt Nature Reserve",193.41
Canberra,"Noise Level Measurement","Glenrock State Conservation Area",193.39
Darwin,"Noise Level Measurement","Hunter Wetlands Centre",193.38
Newcastle,"Water Quality Test","Nobbys Beach",193.27
Adelaide,"Soil Quality Test","Toronto Foreshore",193.26
Adelaide,"Soil Quality Test","Hunter Wetlands Centre",193.26
Melbourne,"Air Quality Check","Croudace Bay Park",193.22
Hobart,"Water Quality Test","Waratah Park",193.19
Adelaide,"Soil Quality Test","Merewether Beach",193.11
Brisbane,"Noise Level Measurement","Watagan Mountains",193.11
Adelaide,"Air Quality Check","King Edward Park",193.02
Adelaide,"Water Quality Test","Hunter Wetlands Centre",192.93
Adelaide,"Soil Quality Test","Redhead Beach",192.9
"Gold Coast","Noise Level Measurement","Speers Point Park",192.89
Darwin,"Noise Level Measurement","Braye Park",192.86
Darwin,"Noise Level Measurement","King Edward Park",192.82
Brisbane,"Water Quality Test","King Edward Park",192.8
Hobart,"Noise Level Measurement","Newcastle Beach",192.66
Brisbane,"Soil Quality Test","King Edward Park",192.62
Brisbane,"Noise Level Measurement","Merewether Beach",192.61
Melbourne,"Noise Level Measurement","Waratah Park",192.6
Adelaide,"Soil Quality Test","Speers Point Park",192.55
Canberra,"Noise Level Measurement","Warners Bay Foreshore",192.53
Adelaide,"Soil Quality Test","Speers Point Park",192.52
Brisbane,"Air Quality Check","Hunter Wetlands Centre",192.49
Melbourne,"Noise Level Measurement","Croudace Bay Park",192.46
Hobart,"Air Quality Check","Newcastle Beach",192.38
Sydney,"Water Quality Test","Braye Park",192.37
Canberra,"Soil Quality Test","Jesmond Park",192.36
Sydney,"Noise Level Measurement","Awaba State Forest",192.3
Brisbane,"Air Quality Check","Redhead Beach",192.29
Melbourne,"Noise Level Measurement","Watagan Mountains",192.23
Sydney,"Noise Level Measurement","Redhead Beach",192.21
Sydney,"Noise Level Measurement","Belmont Wetlands State Park",192.13
Melbourne,"Soil Quality Test","Warners Bay Foreshore",192.08
Melbourne,"Noise Level Measurement","King Edward Park",191.95
Newcastle,"Noise Level Measurement","Charlestown Park",191.92
"Gold Coast","Water Quality Test","Hunter Wetlands Centre",191.9
Newcastle,"Noise Level Measurement","Croudace Bay Park",191.71
Darwin,"Soil Quality Test","Hunter Wetlands Centre",191.71
Hobart,"Soil Quality Test","Glenrock State Conservation Area",191.64
Darwin,"Water Quality Test","Awaba State Forest",191.54
Darwin,"Soil Quality Test","Hunter Wetlands Centre",191.53
Hobart,"Noise Level Measurement","Charlestown Park",191.52
Hobart,"Noise Level Measurement","Watagan Mountains",191.51
Hobart,"Air Quality Check","Watagan Mountains",191.4
Sydney,"Noise Level Measurement","Hunter Wetlands Centre",191.36
Melbourne,"Water Quality Test","Jesmond Park",191.34
"Gold Coast","Water Quality Test","Speers Point Park",191.33
Hobart,"Water Quality Test","Glenrock State Conservation Area",191.32
Brisbane,"Noise Level Measurement","Hunter Wetlands Centre",191.31
Adelaide,"Noise Level Measurement","Speers Point Park",191.19
Adelaide,"Noise Level Measurement","Speers Point Park",191.18
"Gold Coast","Water Quality Test","Belmont Wetlands State Park",191.18
Brisbane,"Soil Quality Test","Braye Park",191.17
Canberra,"Water Quality Test","Blackbutt Nature Reserve",191.16
Adelaide,"Water Quality Test","King Edward Park",191.12
Canberra,"Air Quality Check","Glenrock State Conservation Area",191.04
Perth,"Water Quality Test","Warners Bay Foreshore",191.02
Sydney,"Air Quality Check","Toronto Foreshore",190.96
Adelaide,"Air Quality Check","Belmont Wetlands State Park",190.95
Adelaide,"Water Quality Test","Awaba State Forest",190.91
Adelaide,"Noise Level Measurement","Toronto Foreshore",190.88
Melbourne,"Noise Level Measurement","Newcastle Beach",190.87
Brisbane,"Air Quality Check","Lambton Park",190.87
Brisbane,"Water Quality Test","Redhead Beach",190.81
"Gold Coast","Noise Level Measurement","King Edward Park",190.62
Darwin,"Water Quality Test","Toronto Foreshore",190.62
Melbourne,"Noise Level Measurement","Richley Reserve",190.62
Darwin,"Noise Level Measurement","Awaba State Forest",190.54
Sydney,"Air Quality Check","Mount Sugarloaf",190.44
Hobart,"Noise Level Measurement","Watagan Mountains",190.42
Sydney,"Soil Quality Test","Mount Sugarloaf",190.33
Darwin,"Noise Level Measurement","Mount Sugarloaf",190.33
Adelaide,"Soil Quality Test","Redhead Beach",190.32
Brisbane,"Noise Level Measurement","Merewether Beach",190.3
Canberra,"Noise Level Measurement","Watagan Mountains",190.29
Brisbane,"Air Quality Check","Belmont Wetlands State Park",190.26
"Gold Coast","Soil Quality Test","Lambton Park",190.24
Sydney,"Soil Quality Test","Toronto Foreshore",190.24
Newcastle,"Air Quality Check","Richley Reserve",190.22
Brisbane,"Water Quality Test","Speers Point Park",190.22
Melbourne,"Soil Quality Test","Waratah Park",190.19
Hobart,"Noise Level Measurement","Warners Bay Foreshore",190.17
"Gold Coast","Noise Level Measurement","Watagan Mountains",190.15
Melbourne,"Water Quality Test","Warners Bay Foreshore",190.15
Newcastle,"Water Quality Test","Jesmond Park",190.11
Perth,"Noise Level Measurement","Watagan Mountains",189.98
Newcastle,"Water Quality Test","Warners Bay Foreshore",189.94
Sydney,"Soil Quality Test","King Edward Park",189.94
"Gold Coast","Noise Level Measurement","Redhead Beach",189.89
Brisbane,"Noise Level Measurement","Belmont Wetlands State Park",189.86
Perth,"Soil Quality Test","Croudace Bay Park",189.85
Darwin,"Air Quality Check","King Edward Park",189.84
Hobart,"Water Quality Test","Heaton State Forest",189.8
Canberra,"Water Quality Test","Blackbutt Nature Reserve",189.74
Melbourne,"Noise Level Measurement","Newcastle Beach",189.73
Melbourne,"Noise Level Measurement","Blackbutt Nature Reserve",189.54
Sydney,"Air Quality Check","Awaba State Forest",189.52
Sydney,"Soil Quality Test","King Edward Park",189.52
Adelaide,"Noise Level Measurement","Speers Point Park",189.47
Hobart,"Soil Quality Test","Waratah Park",189.38
Brisbane,"Noise Level Measurement","Toronto Foreshore",189.38
Canberra,"Air Quality Check","Awaba State Forest",189.34
Adelaide,"Air Quality Check","Lambton Park",189.27
Canberra,"Air Quality Check","Glenrock State Conservation Area",189.26
Melbourne,"Air Quality Check","Watagan Mountains",189.25
"Gold Coast","Water Quality Test","Speers Point Park",189.23
Melbourne,"Soil Quality Test","Croudace Bay Park",189.21
Sydney,"Noise Level Measurement","Newcastle Beach",189.08
Perth,"Air Quality Check","Charlestown Park",189.05
"Gold Coast","Air Quality Check","Redhead Beach",189.05
Sydney,"Noise Level Measurement","Hunter Wetlands Centre",189.04
"Gold Coast","Air Quality Check","Warners Bay Foreshore",189.04
Darwin,"Air Quality Check","Redhead Beach",189.03
"Gold Coast","Air Quality Check","Hunter Wetlands Centre",189.01
"Gold Coast","Air Quality Check","Mount Sugarloaf",188.9
Sydney,"Air Quality Check","Mount Sugarloaf",188.79
Brisbane,"Water Quality Test","Awaba State Forest",188.75
Canberra,"Noise Level Measurement","Richley Reserve",188.74
Adelaide,"Soil Quality Test","Braye Park",188.7
Newcastle,"Air Quality Check","Richley Reserve",188.69
Hobart,"Air Quality Check","Blackbutt Nature Reserve",188.66
Canberra,"Soil Quality Test","Newcastle Beach",188.64
Sydney,"Air Quality Check","King Edward Park",188.63
Adelaide,"Soil Quality Test","Mount Sugarloaf",188.62
Perth,"Water Quality Test","Jesmond Park",188.61
Newcastle,"Air Quality Check","Blackbutt Nature Reserve",188.57
Adelaide,"Noise Level Measurement","Lambton Park",188.56
Canberra,"Air Quality Check","Blackbutt Nature Reserve",188.5
Newcastle,"Soil Quality Test","Newcastle Beach",188.49
Canberra,"Soil Quality Test","Jesmond Park",188.48
"Gold Coast","Noise Level Measurement","Speers Point Park",188.47
Newcastle,"Noise Level Measurement","Richley Reserve",188.39
Sydney,"Noise Level Measurement","King Edward Park",188.38
Sydney,"Air Quality Check","Redhead Beach",188.37
Newcastle,"Water Quality Test","Heaton State Forest",188.33
Sydney,"Water Quality Test","Braye Park",188.32
Canberra,"Soil Quality Test","Nobbys Beach",188.27
Darwin,"Water Quality Test","King Edward Park",188.23
Melbourne,"Noise Level Measurement","Heaton State Forest",188.22
Hobart,"Noise Level Measurement","Glenrock State Conservation Area",188.21
Newcastle,"Water Quality Test","Jesmond Park",188.2
Newcastle,"Noise Level Measurement","Croudace Bay Park",188.19
Canberra,"Soil Quality Test","Jesmond Park",188.07
Darwin,"Water Quality Test","Lambton Park",188.07
Melbourne,"Water Quality Test","Warners Bay Foreshore",187.88
Adelaide,"Soil Quality Test","Awaba State Forest",187.84
Brisbane,"Soil Quality Test","Blackbutt Nature Reserve",187.82
Newcastle,"Noise Level Measurement","Richley Reserve",187.81
Adelaide,"Noise Level Measurement","Mount Sugarloaf",187.81
Hobart,"Soil Quality Test","Jesmond Park",187.75
Hobart,"Soil Quality Test","Croudace Bay Park",187.73
Sydney,"Water Quality Test","Lambton Park",187.71
Brisbane,"Water Quality Test","King Edward Park",187.66
"Gold Coast","Air Quality Check","Toronto Foreshore",187.65
Hobart,"Water Quality Test","Charlestown Park",187.62
Perth,"Soil Quality Test","Watagan Mountains",187.53
Canberra,"Water Quality Test","Waratah Park",187.5
Sydney,"Noise Level Measurement","Belmont Wetlands State Park",187.48
Canberra,"Air Quality Check","Waratah Park",187.47
Sydney,"Air Quality Check","King Edward Park",187.45
Sydney,"Water Quality Test","Hunter Wetlands Centre",187.4
Newcastle,"Soil Quality Test","Blackbutt Nature Reserve",187.32
"Gold Coast","Noise Level Measurement","Braye Park",187.25
Adelaide,"Water Quality Test","Braye Park",187.24
Adelaide,"Soil Quality Test","King Edward Park",187.24
Canberra,"Air Quality Check","Glenrock State Conservation Area",187.22
Perth,"Soil Quality Test","Croudace Bay Park",187.21
Darwin,"Soil Quality Test","Belmont Wetlands State Park",187.18
Canberra,"Soil Quality Test","Jesmond Park",187.16
Adelaide,"Water Quality Test","King Edward Park",187.16
Darwin,"Water Quality Test","Warners Bay Foreshore",187.14
Darwin,"Water Quality Test","King Edward Park",187.1
Melbourne,"Soil Quality Test","Watagan Mountains",187.06
Brisbane,"Noise Level Measurement","King Edward Park",187.06
Brisbane,"Soil Quality Test","Mount Sugarloaf",187.04
Perth,"Noise Level Measurement","Watagan Mountains",186.99
Adelaide,"Water Quality Test","King Edward Park",186.94
Brisbane,"Noise Level Measurement","Hunter Wetlands Centre",186.93
Perth,"Soil Quality Test","Watagan Mountains",186.88
"Gold Coast","Soil Quality Test","King Edward Park",186.85
Hobart,"Soil Quality Test","Waratah Park",186.81
Melbourne,"Water Quality Test","Watagan Mountains",186.8
Perth,"Noise Level Measurement","Watagan Mountains",186.79
Sydney,"Soil Quality Test","King Edward Park",186.78
Sydney,"Noise Level Measurement","King Edward Park",186.71
Canberra,"Noise Level Measurement","Waratah Park",186.66
"Gold Coast","Air Quality Check","Speers Point Park",186.63
Melbourne,"Air Quality Check","Croudace Bay Park",186.49
Melbourne,"Water Quality Test","Glenrock State Conservation Area",186.43
Hobart,"Noise Level Measurement","Nobbys Beach",186.42
Adelaide,"Noise Level Measurement","Speers Point Park",186.4
Darwin,"Water Quality Test","Merewether Beach",186.34
Brisbane,"Noise Level Measurement","King Edward Park",186.32
Newcastle,"Air Quality Check","Waratah Park",186.23
Perth,"Water Quality Test","Glenrock State Conservation Area",186.15
"Gold Coast","Soil Quality Test","Awaba State Forest",186.05
Brisbane,"Noise Level Measurement","Redhead Beach",185.96
Sydney,"Air Quality Check","King Edward Park",185.95
Brisbane,"Soil Quality Test","Awaba State Forest",185.91
Brisbane,"Soil Quality Test","King Edward Park",185.91
Darwin,"Air Quality Check","Lambton Park",185.87
Brisbane,"Water Quality Test","Charlestown Park",185.85
Melbourne,"Noise Level Measurement","Richley Reserve",185.8
Perth,"Soil Quality Test","Blackbutt Nature Reserve",185.78
Melbourne,"Water Quality Test","Jesmond Park",185.75
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",185.69
Newcastle,"Noise Level Measurement","Watagan Mountains",185.68
"Gold Coast","Soil Quality Test","King Edward Park",185.64
Perth,"Water Quality Test","Blackbutt Nature Reserve",185.55
Newcastle,"Water Quality Test","Waratah Park",185.54
Sydney,"Soil Quality Test","Belmont Wetlands State Park",185.48
Adelaide,"Noise Level Measurement","Mount Sugarloaf",185.44
Darwin,"Soil Quality Test","Mount Sugarloaf",185.43
Newcastle,"Water Quality Test","Jesmond Park",185.43
Darwin,"Air Quality Check","King Edward Park",185.42
Darwin,"Soil Quality Test","Redhead Beach",185.36
Canberra,"Water Quality Test","Richley Reserve",185.32
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",185.31
Brisbane,"Water Quality Test","Redhead Beach",185.29
Darwin,"Water Quality Test","Awaba State Forest",185.28
Adelaide,"Noise Level Measurement","Hunter Wetlands Centre",185.18
Perth,"Soil Quality Test","King Edward Park",185.17
"Gold Coast","Noise Level Measurement","King Edward Park",185.05
Sydney,"Air Quality Check","Awaba State Forest",185
"Gold Coast","Soil Quality Test","Mount Sugarloaf",184.96
Newcastle,"Noise Level Measurement","Croudace Bay Park",184.94
Canberra,"Air Quality Check","Newcastle Beach",184.9
Brisbane,"Soil Quality Test","Lambton Park",184.89
Hobart,"Water Quality Test","Waratah Park",184.86
Darwin,"Soil Quality Test","Lambton Park",184.85
Adelaide,"Air Quality Check","Newcastle Beach",184.81
Sydney,"Soil Quality Test","Awaba State Forest",184.8
"Gold Coast","Noise Level Measurement","Awaba State Forest",184.76
Canberra,"Air Quality Check","King Edward Park",184.75
Perth,"Air Quality Check","Watagan Mountains",184.73
Melbourne,"Water Quality Test","Glenrock State Conservation Area",184.7
Perth,"Noise Level Measurement","Watagan Mountains",184.69
Newcastle,"Water Quality Test","Jesmond Park",184.64
Newcastle,"Water Quality Test","Watagan Mountains",184.55
Brisbane,"Air Quality Check","Mount Sugarloaf",184.47
Hobart,"Air Quality Check","Nobbys Beach",184.45
Newcastle,"Air Quality Check","Jesmond Park",184.34
Newcastle,"Air Quality Check","Warners Bay Foreshore",184.32
Sydney,"Noise Level Measurement","Lambton Park",184.27
Hobart,"Noise Level Measurement","Waratah Park",184.26
Perth,"Noise Level Measurement","Warners Bay Foreshore",184.21
Perth,"Soil Quality Test","Newcastle Beach",184.21
Hobart,"Soil Quality Test","Warners Bay Foreshore",184.15
"Gold Coast","Air Quality Check","Lambton Park",184.12
Perth,"Soil Quality Test","Warners Bay Foreshore",184.09
Canberra,"Water Quality Test","Watagan Mountains",184.07
Melbourne,"Soil Quality Test","Warners Bay Foreshore",184.05
Hobart,"Water Quality Test","Heaton State Forest",184.01
Sydney,"Soil Quality Test","Lambton Park",183.99
Sydney,"Water Quality Test","Toronto Foreshore",183.92
Perth,"Soil Quality Test","Waratah Park",183.89
Sydney,"Water Quality Test","King Edward Park",183.77
Hobart,"Noise Level Measurement","Croudace Bay Park",183.72
Adelaide,"Air Quality Check","Merewether Beach",183.7
"Gold Coast","Soil Quality Test","Speers Point Park",183.67
Newcastle,"Soil Quality Test","Warners Bay Foreshore",183.67
Hobart,"Air Quality Check","Warners Bay Foreshore",183.64
Newcastle,"Water Quality Test","Warners Bay Foreshore",183.62
Adelaide,"Air Quality Check","Belmont Wetlands State Park",183.6
Darwin,"Air Quality Check","Braye Park",183.59
Perth,"Noise Level Measurement","Glenrock State Conservation Area",183.54
Newcastle,"Water Quality Test","Blackbutt Nature Reserve",183.53
Canberra,"Water Quality Test","Charlestown Park",183.5
Sydney,"Air Quality Check","Braye Park",183.49
Newcastle,"Noise Level Measurement","Speers Point Park",183.43
Brisbane,"Noise Level Measurement","Mount Sugarloaf",183.42
Canberra,"Soil Quality Test","Watagan Mountains",183.39
Perth,"Water Quality Test","Waratah Park",183.32
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",183.31
Sydney,"Air Quality Check","Speers Point Park",183.31
Darwin,"Air Quality Check","Speers Point Park",183.29
Darwin,"Air Quality Check","King Edward Park",183.28
Melbourne,"Water Quality Test","Heaton State Forest",183.26
Darwin,"Soil Quality Test","Braye Park",183.17
Brisbane,"Soil Quality Test","Mount Sugarloaf",183.17
"Gold Coast","Noise Level Measurement","Warners Bay Foreshore",183.16
"Gold Coast","Air Quality Check","King Edward Park",183.12
Brisbane,"Water Quality Test","Braye Park",183.09
Melbourne,"Noise Level Measurement","Glenrock State Conservation Area",183.04
Brisbane,"Noise Level Measurement","Hunter Wetlands Centre",183.04
Brisbane,"Noise Level Measurement","Toronto Foreshore",183.03
Darwin,"Noise Level Measurement","Braye Park",183.02
"Gold Coast","Water Quality Test","King Edward Park",182.95
Hobart,"Water Quality Test","Merewether Beach",182.95
Hobart,"Soil Quality Test","Newcastle Beach",182.94
Perth,"Noise Level Measurement","Nobbys Beach",182.9
Sydney,"Air Quality Check","King Edward Park",182.8
Darwin,"Soil Quality Test","King Edward Park",182.78
"Gold Coast","Air Quality Check","Lambton Park",182.74
Sydney,"Water Quality Test","Hunter Wetlands Centre",182.7
Darwin,"Air Quality Check","Belmont Wetlands State Park",182.68
Hobart,"Soil Quality Test","Croudace Bay Park",182.67
"Gold Coast","Soil Quality Test","Toronto Foreshore",182.67
Brisbane,"Air Quality Check","King Edward Park",182.56
Brisbane,"Air Quality Check","Toronto Foreshore",182.52
Melbourne,"Air Quality Check","Blackbutt Nature Reserve",182.52
"Gold Coast","Soil Quality Test","Mount Sugarloaf",182.49
Sydney,"Air Quality Check","King Edward Park",182.49
"Gold Coast","Noise Level Measurement","Speers Point Park",182.47
Canberra,"Noise Level Measurement","Heaton State Forest",182.4
Newcastle,"Noise Level Measurement","Glenrock State Conservation Area",182.37
Perth,"Water Quality Test","Glenrock State Conservation Area",182.37
Adelaide,"Air Quality Check","King Edward Park",182.35
Brisbane,"Soil Quality Test","Awaba State Forest",182.34
Newcastle,"Air Quality Check","Croudace Bay Park",182.32
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",182.28
Adelaide,"Air Quality Check","Belmont Wetlands State Park",182.21
Sydney,"Air Quality Check","Redhead Beach",182.19
Melbourne,"Water Quality Test","Warners Bay Foreshore",182.18
Darwin,"Water Quality Test","Lambton Park",182.16
Hobart,"Air Quality Check","Charlestown Park",182.14
Darwin,"Air Quality Check","Lambton Park",182.13
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",182.09
Newcastle,"Water Quality Test","Newcastle Beach",182.08
Sydney,"Air Quality Check","Toronto Foreshore",182.07
Perth,"Noise Level Measurement","Glenrock State Conservation Area",182.01
Adelaide,"Water Quality Test","Lambton Park",181.8
Newcastle,"Soil Quality Test","Heaton State Forest",181.79
Darwin,"Air Quality Check","Toronto Foreshore",181.67
Canberra,"Air Quality Check","Warners Bay Foreshore",181.52
Brisbane,"Noise Level Measurement","Toronto Foreshore",181.51
Adelaide,"Water Quality Test","Glenrock State Conservation Area",181.46
Melbourne,"Soil Quality Test","Waratah Park",181.45
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",181.42
Adelaide,"Air Quality Check","Belmont Wetlands State Park",181.41
Newcastle,"Noise Level Measurement","Awaba State Forest",181.39
Hobart,"Noise Level Measurement","Waratah Park",181.38
Sydney,"Soil Quality Test","Lambton Park",181.35
Melbourne,"Water Quality Test","Charlestown Park",181.33
"Gold Coast","Water Quality Test","Toronto Foreshore",181.3
Perth,"Air Quality Check","Heaton State Forest",181.28
Canberra,"Soil Quality Test","Waratah Park",181.27
Sydney,"Air Quality Check","Toronto Foreshore",181.17
Hobart,"Soil Quality Test","Blackbutt Nature Reserve",181.14
Perth,"Water Quality Test","Watagan Mountains",181.1
Perth,"Air Quality Check","Newcastle Beach",181.09
Adelaide,"Water Quality Test","Braye Park",181.07
Sydney,"Noise Level Measurement","Mount Sugarloaf",181.07
Canberra,"Noise Level Measurement","Nobbys Beach",181.02
Perth,"Soil Quality Test","Heaton State Forest",180.95
Canberra,"Air Quality Check","Heaton State Forest",180.93
Darwin,"Noise Level Measurement","Merewether Beach",180.91
Sydney,"Soil Quality Test","King Edward Park",180.87
Perth,"Noise Level Measurement","Nobbys Beach",180.85
Hobart,"Air Quality Check","Glenrock State Conservation Area",180.8
Adelaide,"Air Quality Check","Toronto Foreshore",180.77
Newcastle,"Water Quality Test","Glenrock State Conservation Area",180.71
Adelaide,"Air Quality Check","Belmont Wetlands State Park",180.65
Adelaide,"Noise Level Measurement","Awaba State Forest",180.63
Hobart,"Water Quality Test","Newcastle Beach",180.61
Adelaide,"Water Quality Test","Braye Park",180.61
Melbourne,"Air Quality Check","Nobbys Beach",180.47
Canberra,"Noise Level Measurement","Croudace Bay Park",180.43
Brisbane,"Noise Level Measurement","Merewether Beach",180.43
Darwin,"Soil Quality Test","Braye Park",180.39
Canberra,"Water Quality Test","Richley Reserve",180.38
Darwin,"Soil Quality Test","Merewether Beach",180.38
Adelaide,"Soil Quality Test","Merewether Beach",180.35
Brisbane,"Noise Level Measurement","King Edward Park",180.3
Darwin,"Noise Level Measurement","Braye Park",180.29
Melbourne,"Noise Level Measurement","Blackbutt Nature Reserve",180.2
Sydney,"Air Quality Check","Blackbutt Nature Reserve",180.2
Newcastle,"Air Quality Check","Newcastle Beach",180.19
Newcastle,"Water Quality Test","Croudace Bay Park",180.19
"Gold Coast","Air Quality Check","Speers Point Park",180.19
Brisbane,"Noise Level Measurement","Awaba State Forest",180.18
Darwin,"Noise Level Measurement","Merewether Beach",180.07
Darwin,"Air Quality Check","Awaba State Forest",180.05
